"","x"
"283",1294.69645673746
"284",1296.55171103572
"285",1297.13413429428
"286",1293.62453952584
"287",1284.73437014333
"288",1279.31198422213
"289",1278.13413429428
"290",1278.13413429428
"291",1278.13413429428
"292",1277.25923225666
"293",1277.93947026266
"294",1278.13413429428
"295",1278.13413429428
"296",1278.13413429428
"297",1287.78955951422
"298",1288.13413429428
"299",1288.13413429428
"300",1288.13413429428
"301",1288.13413429428
"302",1288.13413429428
"303",1297.50308590718
"304",1300.92182368822
"305",1302.05961864599
"306",1302.13413429428
"307",1302.13413429428
"308",1302.13413429428
"309",1302.13413429428
"310",1302.13413429428
"311",1302.13413429428
"312",1302.13413429428
"313",1302.13413429428
"314",1302.13413429428
"315",1302.13413429428
"316",1302.13413429428
"317",1302.13413429428
"318",1302.13413429428
"319",1302.13413429428
"320",1302.13413429428
"321",1302.13413429428
"322",1302.13413429428
"323",1302.13413429428
"324",1302.13413429428
"325",1302.13413429428
"326",1302.13413429428
"327",1302.13413429428
"328",1302.13413429428
"329",1302.13413429428
"330",1302.13413429428
"331",1302.13413429428
"332",1301.84624023269
"333",1301.33959617111
"334",1301.37508004208
"335",1301.78039529135
"336",1302.13413429428
"337",1302.13413429428
"338",1302.13413429428
"339",1302.13413429428
"340",1302.13413429428
"341",1302.13413429428
"342",1302.13413429428
"343",1302.13413429428
"344",1302.13413429428
"345",1302.13413429428
"346",1302.13413429428
"347",1302.13413429428
"348",1302.13413429428
"349",1302.13413429428
"350",1302.13413429428
"351",1302.13413429428
"352",1302.13413429428
"353",1302.13413429428
"354",1302.13413429428
"355",1302.13413429428
"356",1302.13413429428
"357",1296.96125799026
"358",1285.84474677502
"359",1279.56315813929
"360",1275.84484307702
"361",1247.50724035489
"362",1198.58599964591
"363",-1144.86586570572
"364",-1145.71533753671
"365",-1152.14586570572
"366",-1189.00253237239
"367",-1148.14407520115
"368",-1095.47207711726
"369",-1042.80007903338
"370",-990.128080949496
"371",-937.456082865612
"372",-884.784084781729
"373",-810.199672523904
"374",-788.865865705722
"375",-788.865865705722
"376",-802.735642098684
"377",-860.258362098215
"378",-929.950417517546
"379",-944.008904485124
"380",-958.067391452701
"381",-972.125878420279
"382",-984.865865705722
"383",-984.865865705722
"384",-984.865865705722
"385",-984.865865705722
"386",-985.993365705722
"387",-1055.93245262757
"388",-1185.19067631178
"389",-1212.01526958053
"390",-1239.84331598981
"391",-1233.99292828356
"392",-1189.88713360734
"393",-1145.78133893113
"394",-1101.67554425491
"395",-1057.5697495787
"396",-1039.83431889432
"397",-1046.70629123764
"398",-1059.22196273369
"399",-1067.85125531611
"400",-1076.44284517786
"401",-1080.86586570572
"402",-1080.86586570572
"403",-1081.19541116027
"404",-1082.91671797845
"405",-1085.86586570572
"406",-1085.86586570572
